CrmLobTriID	MajorLob	LobInfo	TriangleType	PeriodType	Mth	Ldfs
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	3	280.1481459
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	15	23.58475868
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	27	4.94238552
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	39	2.131784866
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	51	1.578536988
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	63	1.34127321
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	75	1.226054667
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	87	1.144877267
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	99	1.103865172
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	111	1.074262798
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	123	1.052515787
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	135	1.036461418
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	147	1.024958662
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	159	1.017579145
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	171	1.012078913
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	183	1.007974063
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	195	1.004907609
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	207	1.002665945
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	219	1.001161562
1800707016653	Healthcare	.@Life Sci & AH	Incd Loss&ALAE	AY	231	1
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	3	2776.198411
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	15	87.11425431
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	27	12.35043276
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	39	4.439057898
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	51	2.292467699
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	63	1.681016355
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	75	1.421743261
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	87	1.257374242
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	99	1.178184943
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	111	1.137148172
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	123	1.107090912
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	135	1.082993472
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	147	1.062959077
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	159	1.049628047
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	171	1.039009324
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	183	1.030534818
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	195	1.02376108
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	207	1.018473547
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	219	1.014722177
1800707016354	Healthcare	.@Life Sci & AH	Paid Loss&ALAE	AY	231	1.011626018
1800706715662	LPL	.@	Incd Loss&ALAE	PY	12	2.289851572
1800706715662	LPL	.@	Incd Loss&ALAE	PY	24	1.109383279
1800706715662	LPL	.@	Incd Loss&ALAE	PY	36	1.06619979
1800706715662	LPL	.@	Incd Loss&ALAE	PY	48	1.045013003
1800706715662	LPL	.@	Incd Loss&ALAE	PY	60	1.02772161
1800706715662	LPL	.@	Incd Loss&ALAE	PY	72	1.017960953
1800706715662	LPL	.@	Incd Loss&ALAE	PY	84	1.011041061
1800706715662	LPL	.@	Incd Loss&ALAE	PY	96	1.006011006
1800706715662	LPL	.@	Incd Loss&ALAE	PY	108	1.003002
1800706715662	LPL	.@	Incd Loss&ALAE	PY	120	1.001
1800706715662	LPL	.@	Incd Loss&ALAE	PY	132	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	144	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	156	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	168	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	180	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	192	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	204	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	216	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	228	1
1800706715662	LPL	.@	Incd Loss&ALAE	PY	240	1
